Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
Insidious: Chapter 2,13-09-2013,https://en.wikipedia.org/wiki/Insidious:_Chapter_2,Horror,Patrick Wilson,Rose Byrne,Lin Shaye,Ty Simpkins,unknown,5000000,161900000,156900000,James Wan,3138.00%,2013
Insidious: Chapter 3,05-06-2015,https://en.wikipedia.org/wiki/Insidious:_Chapter_3,Horror,Dermot Mulroney,Stefanie Scott,Angus Sampson,Leigh Whannell,Lin Shaye,11000000,113000000,102000000,Leigh Whannell,927.27%,2015
Interstellar,26-10-2014,https://en.wikipedia.org/wiki/Interstellar_(film),Sci-Fi,Matthew McConaughey,Anne Hathaway,Michael Caine,Jessica Chastain,Matt Damon,165000000,675100000,510100000,Christopher Nolan,309.15%,2014
Into the Storm,08-08-2014,https://en.wikipedia.org/wiki/Into_the_Storm_(2014_film),Adventure,Richard Armitage,Jeremy Sumpter,Sarah Wayne Callies,Nathan Kress,unknown,50000000,161700000,111700000,Steven Quale,223.40%,2014
Iron Sky,25-07-2012,https://en.wikipedia.org/wiki/Iron_Sky,Comedy,Julia Dietze,Peta Sergeant,Gotz Otto,Chris Kirby,Udo Kier,7500000,8100000,600000,Timo Vuorensola,8.00%,2012
Irrational Man,16-05-2015,https://en.wikipedia.org/wiki/Irrational_Man_(film),Mystery,Joaquin Phoenix,Emma Stone,Parker Posey,Jamie Blackley,unknown,11000000,27400000,16400000,Woody Allen,149.09%,2015
Jack Reacher,21-12-2012,https://en.wikipedia.org/wiki/Jack_Reacher_(film),Action,Tom Cruise,Rosamund Pike,David Oyelowo,Richard Jenkins,Alexia Fast,60000000,218300000,158300000,Christopher McQuarrie,263.83%,2012
Jack Ryan: Shadow Recruit,15-01-2014,https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit,Action,David Koepp,Adam Cozad,Anthony Peckham,Steve Zaillian,Chris Pine,60000000,135500000,75500000,Kenneth Branagh,125.83%,2014
Jane Got a Gun,29-01-2016,https://en.wikipedia.org/wiki/Jane_Got_a_Gun,Action,Natalie Portman,Joel Edgerton,Ewan McGregor,Rodrigo Santoro,Noah Emmerich,25000000,3000000,-22000000,Gavin O'Connor,-88.00%,2016
Jason Bourne,29-07-2016,https://en.wikipedia.org/wiki/Jason_Bourne_(film),Action,Matt Damon,Julia Stiles,Alicia Vikander,Riz Ahmed,Vincent Cassel,120000000,347900000,227900000,Paul Greengrass,189.92%,2016
"Jeff, Who Lives at Home",16-03-2012,"https://en.wikipedia.org/wiki/Jeff,_Who_Lives_at_Home",Comedy,Jason Segel,Ed Helms,Judy Greer,Susan Sarandon,Evan Ross,7500000,7500000,0,Jay Duplass,0.00%,2012
Jem and the Holograms,23-10-2015,https://en.wikipedia.org/wiki/Jem_and_the_Holograms_(film),Musical,Aubrey Peeples,Stefanie Scott,Hayley Kiyoko,Aurora Perrineau,Ryan Guzman,5000000,2300000,-2700000,Jon M. Chu,-54.00%,2015
Jersey Boys,05-06-2014,https://en.wikipedia.org/wiki/Jersey_Boys_(film),Drama,John Lloyd Young,Erec Bergen,Vincent Piazza,Michael Lamenda,Christopher Walken,58600000,67700000,9100000,Clint Eastwood,15.53%,2014
Jobs,16-08-2013,https://en.wikipedia.org/wiki/Jobs_(film),Biography,Ashton Kutcher,Dermot Mulroney,Josh Gad,Lukas Haas,J.K. Simmons,12000000,35900000,23900000,Joshua Michael Stern,199.17%,2013
John Wick,13-10-2014,https://en.wikipedia.org/wiki/John_Wick_(film),Action,Keanu Reeves,Bridget Moynahan,Willem Dafoe,unknown,unknown,20000000,86000000,66000000,Chad Stahelski,330.00%,2014
Journey 2: The Mysterious Island,10-02-2012,https://en.wikipedia.org/wiki/Journey_2:_The_Mysterious_Island,Adventure,Dwayne Johnson,Michael Caine,Josh Hutcherson,Vanessa Hudgens,Luis GuzmÃ¡n,79000000,335300000,256300000,Brad Peyton,324.43%,2012
Joy,25-12-2015,https://en.wikipedia.org/wiki/Joy_(film),Comedy,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Ã‰dgar RamÃ­rez,unknown,60000000,101100000,41100000,David O. Russell,68.50%,2015
Keanu,29-04-2016,https://en.wikipedia.org/wiki/Keanu_(film),Comedy,Keegan-Michael Key,Jordan Peele,Method Man,Gabrielle Union,Will Forte,15000000,20700000,5700000,Peter Atencio,38.00%,2016
Kill the Messenger,10-10-2014,https://en.wikipedia.org/wiki/Kill_the_Messenger_(2014_film),Crime,Jeremy Renner,Barry Pepper,Mary Elizabeth Winstead,Rosemarie DeWitt,Ray Liotta,5000000,2500000,-2500000,Michael Cuesta,-50.00%,2014
Killing Them Softly,30-11-2012,https://en.wikipedia.org/wiki/Killing_Them_Softly,Crime,Brad Pitt,Vincent Curatola,Scoot McNairy,Ben Mendelsohn,Ray Liotta,15000000,37900000,22900000,Andrew Dominik,152.67%,2012
Kingsman: The Secret Service,13-12-2014,https://en.wikipedia.org/wiki/Kingsman:_The_Secret_Service,Action,Colin Firth,Taron Egerton,Samuel L. Jackson,Mark Strong,Michael Caine,94000000,414400000,320400000,Matthew Vaughn,340.85%,2014
Krampus,04-12-2015,https://en.wikipedia.org/wiki/Krampus_(film),Horror,Emjay Anthony,Allison Tolman,Adam Scott,unknown,unknown,15000000,61500000,46500000,Michael Dougherty,310.00%,2015
Kubo and the Two Strings,19-08-2016,https://en.wikipedia.org/wiki/Kubo_and_the_Two_Strings,Fantasy,Art Parkinson,Matthew McConaughey,Rooney Mara,Charlize Theron,Ralph Fiennes,60000000,27600000,-32400000,Travis Knight,-54.00%,2016
Kung Fu Panda 3,23-01-2016,https://en.wikipedia.org/wiki/Kung_Fu_Panda_3,Action,Jack Black,Angelina Jolie,Dustin Hoffman,Jackie Chan,Seth Rogen,145000000,519900000,374900000,Jennifer Yuh Nelson,258.55%,2016
Lazer Team,27-01-2016,https://en.wikipedia.org/wiki/Lazer_Team,Sci-Fi,Burnie Burns,Gavin Free,Michael Jones,Colton Dunn,Allie DeBerry,2400000,1600000,-800000,Matt Hullum,-33.33%,2016
Left Behind,03-10-2014,https://en.wikipedia.org/wiki/Left_Behind_(2014_film),Religious,Nicolas Cage,Chad Michael Murray,Cassi Thomson,Nicky Whelan,Jordin Sparks,16000000,27600000,11600000,Vic Armstrong,72.50%,2014
Les Misérables,25-12-2012,https://en.wikipedia.org/wiki/Les_Mis%25C3%25A9rables_(2012_film),Musical,Hugh Jackman,Russell Crowe,Eddie Redmayne,Colm Wilkinson,Anne Hathaway,61000000,441800000,380800000,Tom Hooper,624.26%,2012
Let's Be Cops,13-08-2014,https://en.wikipedia.org/wiki/Let%2527s_Be_Cops,Action,Jake Johnson,Damon Wayans,Jr.,unknown,unknown,17000000,138200000,121200000,Luke Greenfield,712.94%,2014
Life of Pi,21-11-2012,https://en.wikipedia.org/wiki/Life_of_Pi_(film),Drama,Suraj Sharma,Ayush Tandon,Irrfan Khan,GÃ©rard Depardieu,unknown,120000000,609000000,489000000,Ang Lee,407.50%,2012
Lights Out,22-07-2016,https://en.wikipedia.org/wiki/Lights_Out_(2016_film),Horror,Teresa Palmer,Gabriel Bateman,Alexander DiPersia,unknown,unknown,4900000,125900000,121000000,David F. Sandberg,2469.39%,2016
Lincoln,09-11-2012,https://en.wikipedia.org/wiki/Lincoln_(2012_film),Drama,Daniel Day-Lewis,David Strathairn,Hal Holbrook,Sally Field,Joseph Gordon-Levitt,65000000,275300000,210300000,Steven Spielberg,323.54%,2012
Little Boy,24-04-2015,https://en.wikipedia.org/wiki/Little_Boy_(film),Drama,Jakob Salvati,David Henrie,Kevin James,Emily Watson,Ted Levine,20000000,17500000,-2500000, Stephen Saint Leger James Mather,-12.50%,2015
Lockout,13-04-2012,https://en.wikipedia.org/wiki/Lockout_(film),Action,Guy Pearce,Maggie Grace,Peter Stormare,Lennie James,Vincent Regan,20000000,32200000,12200000,James Mather,61.00%,2012
London Has Fallen,04-03-2016,https://en.wikipedia.org/wiki/London_Has_Fallen,Action,Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett,Alon Aboutboul,60000000,195700000,135700000,Babak Najafi,226.17%,2016
Looper,28-09-2012,https://en.wikipedia.org/wiki/Looper_(film),Action,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano,Noah Segan,30000000,176500000,146500000,Rian Johnson,488.33%,2012
Love the Coopers,04-11-2015,https://en.wikipedia.org/wiki/Love_the_Coopers,Romance,John Goodman,Diane Keaton,Amanda Seyfried,Alan Arkin,Olivia Wilde,24000000,41100000,17100000,Jessie Nelson,71.25%,2015
Lucy,25-07-2014,https://en.wikipedia.org/wiki/Lucy_(2014_film),Sci-Fi,Scarlett Johansson,Morgan Freeman,Choi Min-sik,unknown,unknown,40000000,463400000,423400000,Luc Besson,1058.50%,2014
Mad Max: Fury Road,07-05-2015,https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road,Action,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Rosie Huntington-Whiteley,150000000,378400000,228400000,George Miller,152.27%,2015
Madagascar 3: Europe's Most Wanted,08-06-2012,https://en.wikipedia.org/wiki/Madagascar_3:_Europe%2527s_Most_Wanted,Comedy,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,145000000,746900000,601900000,Eric Darnell,415.10%,2012
Magic in the Moonlight,25-07-2014,https://en.wikipedia.org/wiki/Magic_in_the_Moonlight,Comedy,Emma Stone,Colin Firth,Hamish Linklater,Marcia Gay Harden,Jacki Weaver,16800000,51000000,34200000,Woody Allen,203.57%,2014
Mama,18-01-2013,https://en.wikipedia.org/wiki/Mama_(2013_film),Horror,Jessica Chastain,Nikolaj Coster-Waldau,Daniel Kash,David Fox,unknown,15000000,146400000,131400000,Andres Muschietti,876.00%,2013
Man of Steel,14-06-2013,https://en.wikipedia.org/wiki/Man_of_Steel_(film),Action,Henry Cavill,Amy Adams,Michael Shannon,Kevin Costner,Diane Lane,225000000,668000000,443000000,Zack Snyder,196.89%,2013
Man on a Ledge,27-01-2012,https://en.wikipedia.org/wiki/Man_on_a_Ledge,Action,Sam Worthington,Ed Harris,Elizabeth Banks,Jamie Bell,Kyra Sedgwick,42000000,46200000,4200000,Asger Leth,10.00%,2012
Max,26-06-2015,https://en.wikipedia.org/wiki/Max_(2015_film),Adventure,Josh Wiggins,Thomas Haden Church,Lauren Graham,unknown,unknown,20000000,44000000,24000000,Boaz Yakin,120.00%,2015
Maze Runner: The Scorch Trials,18-09-2015,https://en.wikipedia.org/wiki/Maze_Runner:_The_Scorch_Trials,Sci-Fi,Dylan O'Brien,Ki Hong Lee,Thomas Sangster,Kaya Scodelario,Patricia Clarkson,61000000,312300000,251300000,Wes Ball,411.97%,2015
Me and Earl and the Dying Girl,25-01-2015,https://en.wikipedia.org/wiki/Me_and_Earl_and_the_Dying_Girl_(film),Comedy,Thomas Mann,Olivia Cooke,Ronald Cyler II,Jon Bernthal,Nick Offerman,8000000,9100000,1100000,Alfonso Gomez-Rejon,13.75%,2015
Me Before You,03-06-2016,https://en.wikipedia.org/wiki/Me_Before_You_(film),Drama,Emilia Clarke,Sam Claflin,Charles Dance,Jenna Coleman,Janet McTeer,20000000,196200000,176200000,Thea Sharrock,881.00%,2016
Mechanic: Resurrection,26-08-2016,https://en.wikipedia.org/wiki/Mechanic:_Resurrection,Action,Jason Statham,Jessica Alba,Tommy Lee Jones,Michelle Yeoh,unknown,40000000,7500000,-32500000,Dennis Gansel,-81.25%,2016
Men in Black 3,25-05-2012,https://en.wikipedia.org/wiki/Men_in_Black_3,Comedy,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,Emma Thompson,215000000,624000000,409000000,Barry Sonnenfeld,190.23%,2012
Midnight Special,12-02-2016,https://en.wikipedia.org/wiki/Midnight_Special_(film),Sci-Fi,Michael Shannon,Kirsten Dunst,Adam Driver,Joel Edgerton,Sam Shepard,18000000,6200000,-11800000,Jeff Nichols,-65.56%,2016
Miracles from Heaven,16-03-2016,https://en.wikipedia.org/wiki/Miracles_from_Heaven_(film),Drama,Jennifer Garner,Martin Henderson,Queen Latifah,unknown,unknown,13000000,73600000,60600000,Patricia Riggen,466.15%,2016
Mirror Mirror,30-03-2012,https://en.wikipedia.org/wiki/Mirror_Mirror_(film),Fantasy,Lily Collins,Julia Roberts,Armie Hammer,Nathan Lane,Robert Emms,85000000,183000000,98000000,Tarsem Singh,115.29%,2012
Mission: Impossible- Rogue Nation,23-07-2015,https://en.wikipedia.org/wiki/Mission:_Impossible_%25E2%2580%2593_Rogue_Nation,Action,Tom Cruise,Jeremy Renner,Simon Pegg,Ving Rhames,Rebecca Ferguson,150000000,682300000,532300000,Christopher McQuarrie,354.87%,2015
Moms' Night Out,09-05-2014,https://en.wikipedia.org/wiki/Moms%2527_Night_Out,Religious,Sarah Drew,Trace Adkins,Sean Astin,Patricia Heaton,unknown,5000000,10500000,5500000,Andrew Erwin and Jon Erwin,110.00%,2014
Money Monster,13-05-2016,https://en.wikipedia.org/wiki/Money_Monster,Drama,George Clooney,Julia Roberts,Jack O'Connell,Dominic West,Caitriona Balfe,27000000,93100000,66100000,Jodie Foster,244.81%,2016
Monster Hunt,22-01-2016,https://en.wikipedia.org/wiki/Monster_Hunt,Action,Bai Baihe,Jing Boran,Jiang Wu,Elaine Jin,unknown,56000000,385200000,329200000,Raman Hui,587.86%,2016
Moonrise Kingdom ,25-05-2012,https://en.wikipedia.org/wiki/Moonrise_Kingdom,Comedy,Jared Gilman,Kara Hayward,Bruce Willis,Edward Norton,Bill Murray,16000000,68300000,52300000,Wes Anderson,326.88%,2012
Mortdecai,23-01-2015,https://en.wikipedia.org/wiki/Mortdecai_(film),Action,Johnny Depp,Ewan McGregor,Olivia Munn,Aubrey Plaza,Oliver Platt,60000000,47000000,-13000000,David Koepp,-21.67%,2015
Mother's Day,13-04-2016,https://en.wikipedia.org/wiki/Mother%2527s_Day_(2016_film),Comedy,Jennifer Aniston,Julia Roberts,Kate Hudson,Timothy Olyphant,Jason Sudeikis,25000000,43800000,18800000,Garry Marshall,75.20%,2016
Mr. Peabody & Sherman,07-02-2014,https://en.wikipedia.org/wiki/Mr._Peabody_%2526_Sherman,Family,Ty Burrell,Max Charles,Stephen Colbert,Allison Janney,Ariel Winter,145000000,275700000,130700000,Rob Minkoff,90.14%,2014
Mud,26-04-2013,https://en.wikipedia.org/wiki/Mud_(2012_film),Drama,Matthew McConaughey,Reese Witherspoon,Michael Shannon,Sarah Paulson,Sam Shepard,10000000,32600000,22600000,Jeff Nichols,226.00%,2013
Mustang,19-05-2015,https://en.wikipedia.org/wiki/Mustang_(film),Drama,Güne? Nezihe ?ensoy ,unknown,unknown,unknown,unknown,1300000,4900000,3600000, Angelo Pizzo,276.92%,2015
My All American,13-11-2015,https://en.wikipedia.org/wiki/My_All_American,Biography,Aaron Eckhart,Finn Wittrock,Robin Tunney,Sarah Bolger,Michael Reilly Burke,20000000,2200000,-17800000,Angelo Pizzo,-89.00%,2015
My Big Fat Greek Wedding 2,25-03-2016,https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding_2,Romance,Nia Vardalos,John Corbett,Ian Gomez,Elena Kampouris,unknown,18000000,88900000,70900000,Kirk Jones,393.89%,2016
Need for Speed,12-03-2014,https://en.wikipedia.org/wiki/Need_for_Speed_(film),Action,Aaron Paul,Imogen Poots,Dominic Cooper,Michael Keaton,RamÃ³n RodrÃ­guez,65000000,203300000,138300000,Scott Waugh,212.77%,2014
Neighbors,08-03-2014,https://en.wikipedia.org/wiki/Neighbors_(2014_film),Comedy,Seth Rogen,Zac Efron,Rose Byrne,Christopher Mintz-Plasse,Dave Franco,18000000,270700000,252700000,Nicholas Stoller,1403.89%,2014
Neighbors 2: Sorority Rising,20-05-2016,https://en.wikipedia.org/wiki/Neighbors_2:_Sorority_Rising,Comedy,Seth Rogen,Zac Efron,Rose Byrne,ChloÃ« Grace Moretz,Dave Franco,35000000,107900000,72900000,Nicholas Stoller,208.29%,2016
Nerve,27-07-2016,https://en.wikipedia.org/wiki/Nerve_(2016_film),Thriller,Dave Franco,Emma Roberts,Emily Meade,Kimiko Glenn,Juliette Lewis,20000000,47600000,27600000,Henry Joost,138.00%,2016
Night at the Museum: Secret of the Tomb,11-12-2014,https://en.wikipedia.org/wiki/Night_at_the_Museum:_Secret_of_the_Tomb,Comedy,Ben Stiller,Robin Williams,Dan Stevens,Owen Wilson,Ricky Gervais,127000000,363200000,236200000,Shawn Levy,185.98%,2014
Nightcrawler,05-09-2014,https://en.wikipedia.org/wiki/Nightcrawler_(film),Drama,Jake Gyllenhaal,Bill Paxton,Rene Russo,Riz Ahmed,unknown,8500000,50300000,41800000,Dan Gilroy,491.76%,2014
Nine Lives,05-08-2016,https://en.wikipedia.org/wiki/Nine_Lives_(2016_film),Comedy,Kevin Spacey,Robbie Amell,Jennifer Garner,Christopher Walken,Malina Weissman,30000000,19100000,-10900000,Barry Sonnenfeld,-36.33%,2016
No Escape,17-08-2015,https://en.wikipedia.org/wiki/No_Escape_(2015_film),Action,Owen Wilson,Pierce Brosnan,Lake Bell,unknown,unknown,5000000,54400000,49400000,John Erick Dowdle,988.00%,2015
No Good Deed,12-09-2014,https://en.wikipedia.org/wiki/No_Good_Deed_(2014_film),Crime,Idris Elba,Taraji P. Henson,Henry Simmons,unknown,unknown,13200000,54300000,41100000,Sam Miller,311.36%,2014
No One Lives,10-05-2013,https://en.wikipedia.org/wiki/No_One_Lives,Horror,Luke Evans,Adelaide Clemens,America Olivo,Derek Magyar,Lindsey Shaw,2900000,1000000,-1900000,Ryuhei Kitamura,-65.52%,2013
Noah,10-03-2014,https://en.wikipedia.org/wiki/Noah_(2014_film),Adventure,Russell Crowe,Jennifer Connelly,Logan Lerman,Emma Watson,Ray Winstone,125000000,362600000,237600000,Darren Aronofsky,190.08%,2014
Non-Stop,27-01-2014,https://en.wikipedia.org/wiki/Non-Stop_(film),Thriller,Liam Neeson,Julianne Moore,Lupita Nyong'o,Nate Parker,Michelle Dockery,50000000,222800000,172800000,Jaume Collet-Serra,345.60%,2014
Now You See Me,31-05-2013,https://en.wikipedia.org/wiki/Now_You_See_Me_(film),Crime,Jesse Eisenberg,Isla Fisher,Morgan Freeman,Woody Harrelson,Mark Ruffalo,75000000,351700000,276700000,Louis Leterrier,368.93%,2013
Now You See Me 2,06-06-2016,https://en.wikipedia.org/wiki/Now_You_See_Me_2,Thriller,Mark Ruffalo,Jesse Eisenberg,Woody Harrelson,Dave Franco,Lizzy Caplan,90000000,320900000,230900000,Jon M. Chu,256.56%,2016
Oblivion,10-04-2013,https://en.wikipedia.org/wiki/Oblivion_(2013_film),Action,Tom Cruise,Olga Kurylenko,Andrea Riseborough,Morgan Freeman,Nikolaj Coster-Waldau,120000000,286200000,166200000,Joseph Kosinski,138.50%,2013
Olympus Has Fallen,22-03-2013,https://en.wikipedia.org/wiki/Olympus_Has_Fallen,Action,Gerard Butler,Aaron Eckhart,Morgan Freeman,Rick Yune,Dylan McDermott,70000000,161000000,91000000,Antoine Fuqua,130.00%,2013
One Direction: This Is Us,29-08-2013,https://en.wikipedia.org/wiki/One_Direction:_This_Is_Us,Documentary,Harry Styles,Niall Horan,Louis Tomlinson,Zayn Malik,Liam Payne,10000000,68500000,58500000,Morgan Spurlock,585.00%,2013
One for the Money,27-01-2012,https://en.wikipedia.org/wiki/One_for_the_Money_(film),Crime,Katherine Heigl,Debbie Reynolds,Jason O'Mara,Daniel Sunjata,Sherri Shepherd,40000000,36900000,-3100000,Julie Anne Robinson,-7.75%,2012
Ouija,24-10-2014,https://en.wikipedia.org/wiki/Ouija_(2014_film),Horror,Douglas Smith,Olivia Cooke,Vivis Colombetti,Ana Coto,Erin Moriarty,5000000,103600000,98600000,Stiles White,1972.00%,2014
Our Brand Is Crisis,11-09-2015,https://en.wikipedia.org/wiki/Our_Brand_Is_Crisis_(2015_film),Comedy,Sandra Bullock,Scoot McNairy,Billy Bob Thornton,Anthony Mackie,Ann Dowd,28000000,8600000,-19400000,David Gordon Green,-69.29%,2015
Pacific Rim,12-07-2013,https://en.wikipedia.org/wiki/Pacific_Rim_(film),Action,Charlie Hunnam,Ellen McLain,Idris Elba,Charlie Day,Rinko Kikuchi,190000000,411000000,221000000,Guillermo del Toro,116.32%,2013
Pain & Gain,26-04-2013,https://en.wikipedia.org/wiki/Pain_%2526_Gain,Action,Mark Wahlberg,Dwayne Johnson,Ed Harris,Ken Jeong,Anthony Mackie,26000000,86200000,60200000,Michael Bay,231.54%,2013
Pan,30-09-2015,https://en.wikipedia.org/wiki/Pan_(2015_film),Fantasy,Hugh Jackman,Garrett Hedlund,Rooney Mara,Amanda Seyfried,Levi Miller,150000000,128400000,-21600000,Joe Wright,-14.40%,2015
Paper Towns,24-07-2015,https://en.wikipedia.org/wiki/Paper_Towns_(film),Romance,Nat Wolff,Cara Delevingne,unknown,unknown,unknown,12000000,85500000,73500000,Jake Schreier,612.50%,2015
Paranormal Activity 4,19-10-2012,https://en.wikipedia.org/wiki/Paranormal_Activity_4,Thriller,Kathryn Newton,Katie Featherston,unknown,unknown,unknown,5000000,142800000,137800000,Ariel Schulman,2756.00%,2012
Paranormal Activity: The Ghost Dimension,23-10-2015,https://en.wikipedia.org/wiki/Paranormal_Activity:_The_Ghost_Dimension,Horror,Katie Featherston,Tyler Craig,unknown,unknown,unknown,10000000,78100000,68100000,Gregory Plotkin,681.00%,2015
ParaNorman,17-08-2012,https://en.wikipedia.org/wiki/ParaNorman,Fantasy,Kodi Smit-McPhee,Tucker Albrizzi,Anna Kendrick,Casey Affleck,Christopher Mintz-Plasse,60000000,107100000,47100000,Chris Butler,78.50%,2012
Parental Guidance,25-12-2012,https://en.wikipedia.org/wiki/Parental_Guidance_(film),Comedy,Billy Crystal,Bette Midler,Marisa Tomei,Tom Everett Scott,Bailee Madison,25000000,119800000,94800000,Andy Fickman,379.20%,2012
Parker,25-01-2013,https://en.wikipedia.org/wiki/Parker_(2013_film),Crime,Jason Statham,Jennifer Lopez,Bobby Cannavale,Clifton Collins,Jr.,35000000,48500000,13500000,Taylor Hackford,38.57%,2013
Paul Blart: Mall Cop 2,17-04-2015,https://en.wikipedia.org/wiki/Paul_Blart:_Mall_Cop_2,Action,Kevin James,Raini Rodriguez,Neal McDonough,Molly Shannon,Daniella Alonso,40000000,107600000,67600000,Andy Fickman,169.00%,2015
Pawn Sacrifice,11-09-2015,https://en.wikipedia.org/wiki/Pawn_Sacrifice,Biography,Tobey Maguire,Liev Schreiber,Peter Sarsgaard,Michael Stuhlbarg,Lily Rabe,19000000,5400000,-13600000,Ed Zwick,-71.58%,2015
Penguins of Madagascar,14-11-2014,https://en.wikipedia.org/wiki/Penguins_of_Madagascar,Family,Tom McGrath,Chris Miller,Conrad Vernon,Christopher Knights,Benedict Cumberbatch,132000000,373000000,241000000,Simon J. Smith,182.58%,2014
People Like Us,29-06-2012,https://en.wikipedia.org/wiki/People_Like_Us_(film),Drama,Chris Pine,Elizabeth Banks,Michelle Pfeiffer,Olivia Wilde,Mark Duplass,16000000,12400000,-3600000,Alex Kurtzman,-22.50%,2012
Percy Jackson: Sea of Monsters,07-08-2013,https://en.wikipedia.org/wiki/Percy_Jackson:_Sea_of_Monsters,Adventure,Logan Lerman,Alexandra Daddario,Douglas Smith,Mary Birdsong,Yvette Nicole Brown,90000000,202200000,112200000,Thor Freudenthal,124.67%,2013
Pitch Perfect,05-10-2012,https://en.wikipedia.org/wiki/Pitch_Perfect,Comedy,Anna Kendrick,Anna Camp,Rebel Wilson,Adam DeVine,Alexis Knapp,17000000,115400000,98400000,Jason Moore,578.82%,2012
Pitch Perfect 2,20-04-2015,https://en.wikipedia.org/wiki/Pitch_Perfect_2,Comedy,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin,29000000,287100000,258100000,Elizabeth Banks,890.00%,2015
Pixels,24-07-2015,https://en.wikipedia.org/wiki/Pixels_(2015_film),Comedy,Adam Sandler,Kevin James,Josh Gad,Peter Dinklage,Michelle Monaghan,129000000,244900000,115900000,Chris Columbus,89.84%,2015
Point Break,25-12-2015,https://en.wikipedia.org/wiki/Point_Break_(2015_film),Action,Édgar Ramírez,Luke Bracey,Ray Winstone,Teresa Palmer,unknown,105000000,133700000,28700000,Ericson Core,27.33%,2015
Polis Evo,17-09-2015,https://en.wikipedia.org/wiki/Polis_Evo,Action,Shaheizy Sam,Zizan Razak,Nora Danish,Mimie Ernida,Wan Hanafi Su,2400000,17300000,14900000,Ghaz Abu Bakar,620.83%,2015
Poltergeist,22-05-2015,https://en.wikipedia.org/wiki/Poltergeist_(2015_film),Horror,Sam Rockwell,Jared Harris,Rosemarie DeWitt,Saxon Sharbino,Kyle Catlett,35000000,95400000,60400000,Gil Kenan,172.57%,2015
Pompeii,18-02-2014,https://en.wikipedia.org/wiki/Pompeii_(film),Action,Kit Harington,Emily Browning,Jared Harris,Kiefer Sutherland,Carrie-Anne Moss,80000000,117800000,37800000,Paul W. S. Anderson,47.25%,2014
Popstar: Never Stop Never Stopping,03-06-2016,https://en.wikipedia.org/wiki/Popstar:_Never_Stop_Never_Stopping,Comedy,Jorma Taccone,Akiva Schaffer,Andy Samberg (screenplay),unknown,unknown,20000000,9500000,-10500000,Jorma Taccone,-52.50%,2016
Premium Rush,24-08-2012,https://en.wikipedia.org/wiki/Premium_Rush,Action,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,Wole Parks,Jamie Chung,35000000,31100000,-3900000,David Koepp,-11.14%,2012
Pride and Prejudice and Zombies,05-02-2016,https://en.wikipedia.org/wiki/Pride_and_Prejudice_and_Zombies_(film),Comedy,Lily James,Sam Riley,Matt Smith,Lena Headey,Charles Dance,28000000,16400000,-11600000,Burr Steers,-41.43%,2016
Prisoners,20-09-2013,https://en.wikipedia.org/wiki/Prisoners_(2013_film),Crime,Jake Gyllenhaal,Hugh Jackman,Paul Dano,Melissa Leo,Viola Davis,46000000,122100000,76100000,Denis Villeneuve,165.43%,2013
Project Almanac,30-01-2015,https://en.wikipedia.org/wiki/Project_Almanac,Sci-Fi,Jonny Weston,Sofia Black-D'Elia,unknown,unknown,unknown,12000000,33200000,21200000,Dean Israelite,176.67%,2015
Project X,02-03-2012,https://en.wikipedia.org/wiki/Project_X_(2012_film),Comedy,Miles Teller,Oliver Cooper,Jonathan Daniel Brown,Kirby Bliss Blanton,Thomas Mann,12000000,102700000,90700000,Nima Nourizadeh,755.83%,2012
Prometheus,08-06-2012,https://en.wikipedia.org/wiki/Prometheus_(2012_film),Sci-Fi,Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,130000000,403400000,273400000,Ridley Scott,210.31%,2012
Promised Land,28-12-2012,https://en.wikipedia.org/wiki/Promised_Land_(2012_film),Drama,Matt Damon,John Krasinski,Rosemarie DeWitt,Frances McDormand,unknown,15000000,8100000,-6900000,Gus Van Sant,-46.00%,2012
R.I.P.D.,19-07-2013,https://en.wikipedia.org/wiki/R.I.P.D.,Action,Ryan Reynolds,Jeff Bridges,Kevin Bacon,Stephanie Szostak,Mary-Louise Parker,130000000,78300000,-51700000,Robert Schwentke,-39.77%,2013
Race,19-02-2016,https://en.wikipedia.org/wiki/Race_(2016_film),Drama,Stephan James,Jason Sudeikis,Jeremy Irons,William Hurt,Carice van Houten,5000000,23500000,18500000,Stephen Hopkins,370.00%,2016
